"";"CV";"LIBGEO";"P13_F65P";"P13_POP";"DP90F65P";"DP90T";"pct_P13_F65P_P13_POP";"pct_DP90F65P_DP90T"
"199";"1105";"Le Bassin chaurien";2559,87809286734;22153;2126;18967;11,5554466341684;11,2089418463647
"200";"1106";"Les Basses Plaines de l'Aude";2740,58417466279;21017;722;6658;13,0398447669163;10,8440973265245
"201";"1107";"Les Corbières";2214,90861178822;16043;2044;13246;13,8060749971216;15,4310735316322
"202";"1108";"Le Lézignanais";2138,33282088646;16747;1612;11913;12,7684529819458;13,5314362461177
"203";"1109";"La Région Limouxine";2780,80005567047;19803;2177;17734;14,0423171018051;12,2758542911921
"204";"1110";"La Malepère à la Montagne Noire";1994,61183941759;16840;1736;12688;11,8444883575867;13,6822194199243
"205";"1111";"Narbonne-1 (Partiel)";529,302803886362;4737;379;3274;11,1737978443395;11,5760537568723
"206";"1112";"Narbonne-2 (Partiel)";855,225911192708;5625;279;2865;15,2040161989815;9,73821989528796
"207";"1114";"La Haute-Vallée de l'Aude";3172,20231586719;18478;3043;19456;17,1674548969974;15,6404194078947
"208";"1115";"Le Haut-Minervois";2215,10554668072;15522;1967;13616;14,2707482713614;14,4462397179788
"209";"1116";"Le Sud-Minervois";2569,26351698485;22216;1922;14313;11,5649240051533;13,4283518479704
"210";"1117";"Les Corbières Méditerranée";3267,510906748;22500;839;6662;14,5222706966578;12,5938156709697
"211";"1118";"La Montagne d'Alaric";2008,18428738974;15665;1019;8019;12,8195613622071;12,7073201147275
"212";"1119";"La Vallée de l'Orbiel";1816,94838131568;16238;1240;12820;11,1894838115266;9,67238689547582
"213";"1198";"Carcassonne";5952,20831646149;46724;5296;43511;12,739081235471;12,1716347590265
"214";"1199";"Narbonne";7314,09481071276;52802;4935;45866;13,8519275987894;10,7596040640126
"215";"1201";"Aubrac et Carladez";1717,789398376;9563,99999999999;1566;11185;17,9609932912589;14,0008940545373
"216";"1202";"Aveyron et Tarn";1638,5493223886;9941,99999999999;1483;10531;16,4810835082338;14,0822334061343
"217";"1203";"Causse-Comtal";1041,3403965109;11510;678;9097;9,0472666942737;7,45300648565461
"218";"1204";"Causses-Rougiers";1583,33378991649;11536;1580;11660;13,7251542121749;13,5506003430532
"219";"1205";"Ceor-Ségala";1924,65221112528;13922;1845;13111;13,8245382209832;14,0721531538403
"220";"1206";"Enne et Alzou";2098,93997858472;13394;2138;14521;15,6707479362754;14,7235038909166
"221";"1207";"Lot et Dourdou";2213,87590095983;12564;939;7207;17,6207887691804;13,028999583738
"222";"1208";"Lot et Montbazinois";1807,20069243987;11677;1702;11427;15,4765838181028;14,89454800035
"223";"1209";"Lot et Palanges";1477,39942986192;8934;1251;8346;16,5368192283626;14,9892163910856
"224";"1210";"Lot et Truyère";1815,76384984009;10099;1664;11191;17,9796400617892;14,8690912340273
"225";"1211";"Millau-1 (Partiel)";355,106643257532;3324;227;2727;10,6831120113578;8,32416574990832
"226";"1212";"Millau-2 (Partiel)";487,361655319117;3343;470;3110;14,5785718013496;15,112540192926
"227";"1213";"Monts du Réquistanais";1553,76661279359;10616;1372;10811;14,6360833910474;12,6907779113865
"228";"1214";"Nord-Lévezou";1369,85536992357;13151;749;10131;10,4163589835265;7,39314973842661
"229";"1215";"Raspes et Lévezou";1603,19071617824;10933;1387;11065;14,6637767875079;12,5350203343877
"230";"1217";"Rodez-2 (Partiel)";171,790580786369;2125,99999999999;98;1580;8,08046005580289;6,20253164556962
"231";"1218";"Rodez-Onet (Partiel)";1191,86615285109;11604;389;9708;10,271166432705;4,00700453234446
"232";"1219";"Saint-Affrique";1752,12459434144;12826;527;4528;13,6607250455437;11,6386925795053
"233";"1220";"Tarn et Causses";1172,90799282064;8584;1090;8027;13,6638862164567;13,5791703002367
"234";"1221";"Vallon";1304,20202790829;11481;997;8754;11,3596553253923;11,3890792780443
"235";"1222";"Villefranche-de-Rouergue";2204,83668456745;13383;1632;13422;16,4749061089999;12,1591417076442
"236";"1223";"Villeneuvois et Villefranchois";1398,51940198603;10691;1118;9652;13,0812777288002;11,5830915872358
"237";"1298";"Millau";3437,35722907496;22205;2843;21804;15,4801046119116;13,0388919464318
"238";"1299";"Rodez";3053,9597754822;23741;2725;24705;12,8636526493501;11,030155838899
"239";"1303";"Allauch";7718,16523464376;69152;3825;44145;11,1611598140961;8,66462793068298
"240";"1304";"Arles";7657,77931329488;63724;5788;62921;12,0171039377548;9,1988366364171
"241";"1305";"Aubagne";7186,9450577773;60343;3736;41124;11,9101553747366;9,08471938527381
"242";"1306";"Berre-l'Étang";5960,14247104964;69023;1720;30942;8,63500930276813;5,55878740870015
"243";"1307";"Châteaurenard";7419,33192628537;70153;5007;53739;10,5759296484617;9,31725562440685
"244";"1308";"La Ciotat";9483,55155933296;69637;3910;40446;13,6185527224507;9,66721060179004
"245";"1309";"Gardanne";6779,75631336005;60621;3352;50508;11,1838411002129;6,63657242417043
"246";"1310";"Istres";5233,2218839228;64621;385;11601;8,09833008452794;3,31867942418757
"247";"1311";"Marignane";8576,08132403573;80507;3090;49698;10,6525908604665;6,21755402631897
"248";"1324";"Martigues";7109,95543820645;65112;3962;61479;10,9195777094951;6,44447697587794
"249";"1325";"Pélissanne";5846,49617157333;56380;1741;21071;10,3698051996689;8,26254093303593
"250";"1326";"Salon-de-Provence-1 (Partiel)";5613,68777012892;46213;2896;27750;12,1474212237442;10,436036036036
"251";"1327";"Salon-de-Provence-2 (Partiel)";4325,52481036157;42101;2073;36084;10,2741616834792;5,74492850016628
"252";"1328";"Trets";6409,30828349551;70115,0025211856;1914;29892;9,1411367796199;6,40305098354075
"253";"1329";"Vitrolles";6021,42952022623;64274;1948;46925;9,36837526873421;4,151305274374
"254";"1397";"Aix-en-Provence";14867,0209901799;141545;10673;123778;10,5033883147973;8,62269547092375
"255";"1398";"Marseille";91764,0729825297;855393;86128;800309;10,7277091328231;10,7618432380493
"256";"1399";"Salon-de-Provence";4686,33733021757;44263;3377;34046;10,5874823898461;9,91893320801269
"257";"1401";"Aunay-sur-Odon";1476,92204643705;16425;1203;13458;8,99191504680092;8,9389210878288
"258";"1402";"Bayeux";3778,44362846046;29283;953;13630;12,9031985399736;6,99192956713133
"259";"1403";"Bretteville-l'Orgueilleuse";1459,0039991211;20625;932;16493;7,07395878361746;5,65088219244528
"260";"1404";"Cabourg";3793,27717105965;29395;1672;19137;12,9044979454317;8,73700161989863
"261";"1405";"Caen-1 (Partiel)";1040,9114713765;9771,00000000001;484;8834;10,6530700171579;5,47883178628028
"262";"1406";"Caen-2 (Partiel)";763,102733806716;9510,99999999999;231;5977;8,02337013780588;3,86481512464447
"263";"1407";"Caen-3 (Partiel)";155;1600;47;1425;9,6875;3,29824561403509
"264";"1409";"Caen-5 (Partiel)";903,49359525729;10565;173;3782;8,55176143168282;4,57429931253305
"265";"1410";"Condé-sur-Noireau";1396,08665076788;9659;448;3891;14,4537390078463;11,5137496787458
"266";"1411";"Courseulles-sur-Mer";3450,37968893519;27912;1987;21601;12,3616354576354;9,19864821073099
"267";"1412";"Évrecy";1999,16137622518;30144;900;20683;6,63203747420773;4,35139970023691
"268";"1413";"Falaise";2834,87805622464;27334;1392;16153;10,3712521263797;8,61759425493716
